영화명,배급사,전국관객수,개봉일
어벤져스,한국소니픽쳐스릴리징브에나비스타영화㈜,7074867,2012-04-26
은교,롯데쇼핑㈜롯데엔터테인먼트,1346274,2012-04-25
배틀쉽,유니버설픽쳐스인터내셔널 코리아(유),2241687,2012-04-11
간기남,(주)쇼박스,1246185,2012-04-11
건축학개론,롯데쇼핑㈜롯데엔터테인먼트,4110645,2012-03-22
언터처블: 1%의 우정,(주)넥스트엔터테인먼트월드(NEW),1719772,2012-03-22
화차,필라멘트픽쳐스,2435211,2012-03-08
러브픽션,(주)넥스트엔터테인먼트월드(NEW),1726202,2012-02-29
하울링,씨제이이앤엠(주),1612554,2012-02-16
범죄와의 전쟁: 나쁜놈들 전성시대,(주)쇼박스,4710454,2012-02-02
점박이:한반도의 공룡3D,씨제이이앤엠(주),1040636,2012-01-26
잃어버린 세계를 찾아서 2: 신비의 섬,워너브러더스 코리아(주),1149628,2012-01-19
부러진 화살,(주)넥스트엔터테인먼트월드(NEW),3450941,2012-01-18
댄싱퀸,씨제이이앤엠(주),4057546,2012-01-18
장화신은 고양이,씨제이이앤엠(주),2080154,2012-01-12
퍼펙트 게임,롯데쇼핑㈜롯데엔터테인먼트,1507084,2011-12-21
마이 웨이,"에스케이플래닛(주),씨제이이앤엠(주)",2142622,2011-12-21
셜록홈즈 : 그림자 게임,워너브러더스 코리아(주),2239156,2011-12-21
미션임파서블:고스트프로토콜,씨제이이앤엠(주),7575899,2011-12-15
오싹한 연애,씨제이이앤엠(주),3001530,2011-12-01
브레이킹 던 part1,(주)넥스트엔터테인먼트월드(NEW),1462280,2011-11-30
특수본,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",1118258,2011-11-24
신들의 전쟁,(주)넥스트엔터테인먼트월드(NEW),1338411,2011-11-10
완득이,씨제이이앤엠(주),5310510,2011-10-20
오직 그대만,(주)쇼박스,1027622,2011-10-20
리얼 스틸,한국소니픽쳐스릴리징브에나비스타영화㈜,3579666,2011-10-12
의뢰인,(주)쇼박스,2393086,2011-09-29
도가니,씨제이이앤엠(주),4662822,2011-09-22
가문의 영광4 - 가문의 수난,(주)넥스트엔터테인먼트월드(NEW),2363955,2011-09-07
혹성탈출: 진화의 시작,이십세기폭스코리아(주),2773794,2011-08-17
개구쟁이 스머프,한국소니픽쳐스릴리징브에나비스타영화㈜,1027438,2011-08-11
최종병기 활,롯데쇼핑㈜롯데엔터테인먼트,7466976,2011-08-10
블라인드,(주)넥스트엔터테인먼트월드(NEW),2362906,2011-08-10
7광구,씨제이이앤엠(주),2232179,2011-08-04
마당을 나온 암탉,롯데쇼핑㈜롯데엔터테인먼트,2199048,2011-07-28
퀵,씨제이이앤엠(주),3125069,2011-07-20
고지전,(주)쇼박스,2945137,2011-07-20
해리포터와 죽음의 성물2,워너브러더스 코리아(주),4400298,2011-07-13
트랜스포머 3,씨제이이앤엠(주),7784807,2011-06-29
엑스맨: 퍼스트 클래스,이십세기폭스코리아(주),2532306,2011-06-02
쿵푸팬더 2,씨제이이앤엠(주),5062722,2011-05-26
캐리비안의 해적: 낯선 조류,한국소니픽쳐스릴리징브에나비스타영화㈜,3130046,2011-05-19
소스 코드,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",1277301,2011-05-04
써니,씨제이이앤엠(주),7328820,2011-05-04
토르: 천둥의 신,씨제이이앤엠(주),1694529,2011-04-28
분노의 질주: 언리미티드,유니버설픽쳐스인터내셔널 코리아(유),1621973,2011-04-20
수상한 고객들,씨제이이앤엠(주),1059350,2011-04-14
위험한 상견례,롯데쇼핑㈜롯데엔터테인먼트,2595625,2011-03-31
월드 인베이젼,한국소니픽쳐스릴리징브에나비스타영화㈜,1307873,2011-03-10
블랙 스완,이십세기폭스코리아(주),1623199,2011-02-24
아이들...,롯데쇼핑㈜롯데엔터테인먼트,1864408,2011-02-17
그대를 사랑합니다,(주)넥스트엔터테인먼트월드(NEW),1640351,2011-02-17
라푼젤,한국소니픽쳐스릴리징브에나비스타영화㈜,1006075,2011-02-10
조선명탐정 : 각시투구꽃의 비밀,(주)쇼박스,4786259,2011-01-27
평양성,롯데쇼핑㈜롯데엔터테인먼트,1717566,2011-01-27
걸리버 여행기,이십세기폭스코리아(주),1762070,2011-01-27
글러브,씨제이엔터테인먼트,1888100,2011-01-20
심장이 뛴다,롯데쇼핑㈜롯데엔터테인먼트,1006947,2011-01-05
라스트 갓파더,씨제이엔터테인먼트,2316099,2010-12-29
황해,"(주)쇼박스,이십세기폭스코리아(주)",2167426,2010-12-22
헬로우 고스트,(주)넥스트엔터테인먼트월드(NEW),2897477,2010-12-22
해리 포터와 죽음의 성물1,워너브러더스 코리아(주),2809053,2010-12-15
나니아 연대기: 새벽 출정호의 항해,이십세기폭스코리아(주),1182228,2010-12-08
김종욱 찾기,씨제이엔터테인먼트,1130638,2010-12-08
쩨쩨한 로맨스,롯데쇼핑㈜롯데엔터테인먼트,2080574,2010-12-01
초능력자,(주)넥스트엔터테인먼트월드(NEW),2164805,2010-11-10
부당거래,씨제이엔터테인먼트,2766436,2010-10-28
심야의 F.M.,롯데쇼핑㈜롯데엔터테인먼트,1228673,2010-10-14
무적자,씨제이엔터테인먼트,1571432,2010-09-16
슈퍼  배드,유니버설픽쳐스인터내셔널 코리아(유),1043904,2010-09-16
레지던트 이블 4: 끝나지 않은 전쟁 3D,한국소니픽쳐스릴리징브에나비스타영화㈜,1209538,2010-09-16
시라노; 연애조작단,롯데쇼핑㈜롯데엔터테인먼트,2731828,2010-09-16
해결사,"(주)넥스트엔터테인먼트월드(NEW),(주)에스비에스콘텐츠허브",1873327,2010-09-09
마루 밑 아리에티,씨제이엔터테인먼트,1083746,2010-09-09
라스트 에어벤더,씨제이엔터테인먼트,1394110,2010-08-19
악마를 보았다,(주)쇼박스,1848418,2010-08-12
토이 스토리 3,한국소니픽쳐스릴리징브에나비스타영화㈜,1484843,2010-08-05
아저씨,씨제이엔터테인먼트,6282774,2010-08-04
솔트,한국소니픽쳐스릴리징브에나비스타영화㈜,2921331,2010-07-29
인셉션,워너브러더스 코리아(주),5926948,2010-07-21
이끼,씨제이엔터테인먼트,3408144,2010-07-14
이클립스,(주)넥스트엔터테인먼트월드(NEW),2105050,2010-07-07
슈렉 포에버,씨제이엔터테인먼트,2261356,2010-07-01
파괴된 사나이,(주)시너지하우스 (시너지),1030285,2010-07-01
나잇&데이,이십세기폭스코리아(주),2282191,2010-06-24
포화속으로,롯데쇼핑㈜롯데엔터테인먼트,3385706,2010-06-16
방자전,씨제이엔터테인먼트,3035116,2010-06-02
페르시아의 왕자: 시간의 모래,한국소니픽쳐스릴리징브에나비스타영화㈜,2003533,2010-05-27
드래곤 길들이기,씨제이엔터테인먼트,2603857,2010-05-20
로빈 후드,유니버설픽쳐스인터내셔널 코리아(유),1596574,2010-05-13
하녀,(주)싸이더스,2304487,2010-05-13
아이언맨 2,씨제이엔터테인먼트,4498335,2010-04-29
구르믈 버서난 달처럼,에스케이텔레콤(주),1407681,2010-04-28
베스트셀러,(주)시너지하우스 (시너지),1099665,2010-04-15
타이탄,워너브러더스 코리아(주),2685508,2010-04-01
육혈포 강도단,롯데쇼핑㈜롯데엔터테인먼트,1233582,2010-03-18
셔터 아일랜드,씨제이엔터테인먼트,1006833,2010-03-18
이상한 나라의 앨리스,한국소니픽쳐스릴리징브에나비스타영화㈜,2182365,2010-03-04
퍼시 잭슨과 번개 도둑,이십세기폭스코리아(주),1877226,2010-02-11
의형제,(주)쇼박스,5507106,2010-02-04
하모니,씨제이엔터테인먼트,3068544,2010-01-28
용서는 없다,(주)시네마서비스,1144238,2010-01-07
전우치,씨제이엔터테인먼트,6136928,2009-12-23
셜록 홈즈,워너브러더스 코리아(주),2207751,2009-12-23
아바타,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",13624328,2009-12-17
시크릿,씨제이엔터테인먼트,1046787,2009-12-03
뉴 문,(주)넥스트엔터테인먼트월드(NEW),1949027,2009-12-02
닌자 어쌔신,워너브러더스 코리아(주),1345025,2009-11-26
2012,한국소니픽쳐스릴리징브에나비스타영화㈜,5462953,2009-11-12
청담보살,(주)넥스트엔터테인먼트월드(NEW),1321005,2009-11-11
굿모닝 프레지던트,씨제이엔터테인먼트,2583294,2009-10-22
내 사랑 내 곁에,씨제이엔터테인먼트,2160265,2009-09-24
불꽃처럼 나비처럼,(주)쇼박스,1690294,2009-09-24
애자,(주)시너지하우스 (시너지),1922634,2009-09-09
지.아이.조 : 전쟁의 서막,씨제이엔터테인먼트,2706748,2009-08-06
업,한국소니픽쳐스릴리징브에나비스타영화㈜,1047327,2009-07-29
국가대표,(주)쇼박스,8487894,2009-07-29
해운대,씨제이엔터테인먼트,11453338,2009-07-22
해리 포터와 혼혈 왕자,워너브러더스 코리아(주),3002669,2009-07-15
차우,롯데쇼핑㈜롯데엔터테인먼트,1799356,2009-07-15
킹콩을 들다,(주)넥스트엔터테인먼트월드(NEW),1277800,2009-07-01
트랜스포머: 패자의 역습,씨제이엔터테인먼트,7505700,2009-06-24
거북이 달린다,(주)쇼박스,3059812,2009-06-11
박물관이 살아있다 2,이십세기폭스코리아(주),2002526,2009-06-04
마더,씨제이엔터테인먼트,3013523,2009-05-28
터미네이터 : 미래전쟁의 시작,롯데쇼핑㈜롯데엔터테인먼트,4568891,2009-05-21
천사와 악마,한국소니픽쳐스릴리징브에나비스타영화㈜,1936321,2009-05-14
스타 트렉: 더 비기닝,씨제이엔터테인먼트,1111865,2009-05-07
엑스맨 탄생: 울버린,이십세기폭스코리아(주),1303452,2009-04-30
박쥐,씨제이엔터테인먼트,2237271,2009-04-30
인사동 스캔들,에스케이텔레콤(주),1206101,2009-04-29
7급 공무원,롯데쇼핑㈜롯데엔터테인먼트,4088799,2009-04-22
노잉,(주)넥스트엔터테인먼트월드(NEW),1063955,2009-04-16
그림자 살인,씨제이엔터테인먼트,1914779,2009-04-02
슬럼독 밀리어네어,씨제이엔터테인먼트,1125032,2009-03-19
벤자민 버튼의 시간은 거꾸로 간다,"(주)일레븐엔터테인먼트,워너브러더스 코리아(주)",1767051,2009-02-12
작전,(주)쇼박스,1534407,2009-02-12
작전명 발키리,이십세기폭스코리아(주),1798205,2009-01-22
유감스러운 도시,씨제이엔터테인먼트,1534911,2009-01-22
적벽대전 2 : 최후의 결전,(주)쇼박스,2713031,2009-01-22
워낭소리,㈜인디스토리,2962897,2009-01-15
마다가스카 2,씨제이엔터테인먼트,1247015,2009-01-08
쌍화점,(주)쇼박스,3779553,2008-12-30
지구가 멈추는 날,이십세기폭스코리아(주),1576333,2008-12-24
벼랑 위의 포뇨,(주)쇼박스,1521842,2008-12-17
예스맨,워너브러더스 코리아(주),1402609,2008-12-17
잃어버린 세계를 찾아서,롯데쇼핑㈜롯데엔터테인먼트,1438353,2008-12-17
트와일라잇,(주)넥스트엔터테인먼트월드(NEW),1356180,2008-12-10
과속스캔들,롯데쇼핑㈜롯데엔터테인먼트,8245523,2008-12-03
서양 골동 양과자점 앤티크,"오퍼스픽쳐스,(주)쇼박스",1173310,2008-11-13
미인도,씨제이엔터테인먼트,2325715,2008-11-13
007 퀀텀 오브 솔러스,한국소니픽쳐스릴리징브에나비스타영화㈜,2201300,2008-11-05
아내가 결혼했다,씨제이엔터테인먼트,1788748,2008-10-23
이글 아이,씨제이엔터테인먼트,2258369,2008-10-09
영화는 영화다,㈜스튜디오이쩜영,1307688,2008-09-11
신기전,씨제이엔터테인먼트,3726134,2008-09-04
맘마미아!,유니버설픽쳐스인터내셔널 코리아(유),4554785,2008-09-03
고死 : 피의 중간고사,에스케이텔레콤(주),1634051,2008-08-07
다크 나이트,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",4087355,2008-08-06
월ㆍE,한국소니픽쳐스릴리징브에나비스타영화㈜,1320830,2008-08-06
눈에는 눈 이에는 이,롯데쇼핑㈜롯데엔터테인먼트,2058764,2008-07-31
미이라 3:황제의 무덤,유니버설픽쳐스인터내셔널 코리아(유),4090795,2008-07-30
님은 먼 곳에,(주)쇼박스,1706576,2008-07-24
"좋은 놈, 나쁜 놈, 이상한 놈 ",씨제이엔터테인먼트,6686912,2008-07-17
적벽대전:거대한 전쟁의 시작,(주)쇼박스,1573621,2008-07-10
핸콕,한국소니픽쳐스릴리징브에나비스타영화㈜,2723518,2008-07-02
원티드,유니버설픽쳐스인터내셔널 코리아(유),2867594,2008-06-26
강철중: 공공의 적 1-1,"씨제이엔터테인먼트,(주)시네마서비스",4300670,2008-06-19
쿵푸 팬더,씨제이엔터테인먼트,4673009,2008-06-05
섹스 앤 더 시티,에스케이텔레콤(주),1074321,2008-06-05
인디아나 존스 4 : 크리스탈 해골의 왕국,씨제이엔터테인먼트,4136101,2008-05-22
나니아 연대기:캐스피언 왕자 ,한국소니픽쳐스릴리징브에나비스타영화㈜,1478573,2008-05-15
아이언맨,씨제이엔터테인먼트,4316003,2008-04-30
포비든 킹덤: 전설의 마스터를 찾아서,(주)시네마서비스,1221352,2008-04-24
테이큰,㈜스튜디오이쩜영,2379830,2008-04-09
삼국지:용의 부활,에스케이텔레콤(주),1036172,2008-04-03
스텝업 2 : 더 스트리트,㈜스튜디오이쩜영,1052379,2008-03-13
"10,000 BC",워너브러더스 코리아(주),1140118,2008-03-13
밴티지 포인트,한국소니픽쳐스릴리징브에나비스타영화㈜,1015287,2008-02-28
점퍼,이십세기폭스필름코퍼레이션,1685405,2008-02-14
추격자,(주)쇼박스,5071619,2008-02-14
6년째 연애중,(주)스튜디오210,1123294,2008-02-05
원스어폰어타임,(유)씨에이치엔터테인먼트,1562486,2008-01-31
더 게임,,1496214,2008-01-30
우리 생애 최고의 순간,(주)싸이더스,4044582,2008-01-10
무방비도시,씨제이엔터테인먼트,1613728,2008-01-10
꿀벌대소동,씨제이엔터테인먼트,1240953,2008-01-03
내셔널 트레져:비밀의 책,한국소니픽쳐스릴리징브에나비스타영화㈜,1756319,2007-12-19
황금 나침반,롯데쇼핑㈜롯데엔터테인먼트,2979838,2007-12-18
색즉시공 시즌2,씨제이엔터테인먼트,2088134,2007-12-12
나는 전설이다,워너브러더스 코리아(주),2215883,2007-12-12
어거스트 러쉬,씨제이엔터테인먼트,2218573,2007-11-29
세븐 데이즈,(주)프라임엔터테인먼트,2120741,2007-11-14
"색, 계","(주)제이앤씨미디어그룹,씨제이엔터테인먼트",1866900,2007-11-08
식객,씨제이엔터테인먼트,3038868,2007-11-01
궁녀,(주)시네마서비스,1438531,2007-10-18
바르게 살자,씨제이엔터테인먼트,2190250,2007-10-18
행복,(주)쇼박스,1239789,2007-10-03
사랑,롯데쇼핑㈜롯데엔터테인먼트,2123815,2007-09-19
즐거운 인생,씨제이엔터테인먼트,1263835,2007-09-13
권순분여사 납치사건,(주)시네마서비스,1619190,2007-09-12
본 얼티메이텀,유니버설픽쳐스인터내셔널 코리아(유),2052800,2007-09-12
만남의 광장,(주)쇼박스,1306434,2007-08-15
지금 사랑하는 사람과 살고 있습니까?,(주)시네마서비스,1095119,2007-08-15
디워,(주)쇼박스,8426973,2007-08-01
화려한 휴가,씨제이엔터테인먼트,7307993,2007-07-25
라따뚜이,한국소니픽쳐스릴리징브에나비스타영화㈜,1054886,2007-07-25
다이 하드 4 : 죽어도 산다,이십세기폭스필름코퍼레이션,3380800,2007-07-17
해리 포터와 불사조 기사단,워너브러더스 코리아(주),3475000,2007-07-11
트랜스포머,씨제이엔터테인먼트,7440531,2007-06-28
검은 집,씨제이엔터테인먼트,1408882,2007-06-21
오션스 써틴,워너브러더스 코리아(주),1386610,2007-06-14
황진이,(주)시네마서비스,1270644,2007-06-06
슈렉3,씨제이엔터테인먼트,2844159,2007-06-06
캐리비안의 해적: 세상의 끝에서,한국소니픽쳐스릴리징브에나비스타영화㈜,4966571,2007-05-23
밀양,(주)시네마서비스,1710364,2007-05-23
못말리는 결혼,롯데쇼핑㈜롯데엔터테인먼트,1304431,2007-05-10
스파이더맨 3,한국소니픽쳐스릴리징브에나비스타영화㈜,4935660,2007-05-01
극락도 살인사건,"(주)엠케이픽처스 ,(주)두엔터테인먼트 ",2259511,2007-04-12
우아한 세계,롯데쇼핑㈜롯데엔터테인먼트,1025781,2007-04-05
이장과 군수,씨제이엔터테인먼트,1269142,2007-03-29
향수 : 어느 살인자의 이야기,"(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트",1011710,2007-03-22
300,워너브러더스 코리아(주),2929400,2007-03-14
그 여자 작사 그 남자 작곡,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",1103900,2007-02-28
1번가의 기적,씨제이엔터테인먼트,2750457,2007-02-14
복면달호,㈜스튜디오이쩜영,1611192,2007-02-14
김관장 대 김관장 대 김관장,(주)쇼박스,1025618,2007-02-08
바람피기 좋은 날,(주)시네마서비스,1847875,2007-02-08
그놈 목소리,씨제이엔터테인먼트,3143247,2007-02-01
최강로맨스,(주)쇼박스,1299274,2007-01-25
마파도2,씨제이엔터테인먼트,1560297,2007-01-18
허브,(주)쇼박스,1406199,2007-01-11
에라곤,이십세기폭스필름코퍼레이션,1022140,2007-01-11
조폭마누라3,(주)쇼박스,1690465,2006-12-28
중천,씨제이엔터테인먼트,1531220,2006-12-21
박물관이 살아있다!,이십세기폭스코리아(주),4612831,2006-12-21
007 카지노 로얄,한국소니픽쳐스릴리징브에나비스타영화㈜,1088307,2006-12-21
미녀는 괴로워,(주)쇼박스,6619498,2006-12-14
로맨틱 홀리데이,UIP코리아,1300645,2006-12-14
해바라기,(주)쇼박스,1543429,2006-11-23
마음이...,(주)쇼박스,1042166,2006-10-26
악마는 프라다를 입는다,"(주)퍼스트런,글뫼 주식회사,이십세기폭스코리아(주)",1730719,2006-10-25
거룩한 계보,씨제이엔터테인먼트,1744677,2006-10-19
라디오 스타,(주)시네마서비스,1879501,2006-09-28
타짜,씨제이엔터테인먼트,6847777,2006-09-28
가문의 부활 - 가문의 영광3,(주)쇼박스,3464516,2006-09-21
우리들의 행복한 시간,(주)프라임엔터테인먼트,3132320,2006-09-14
몬스터 하우스,소니픽쳐스릴리징코리아,1201649,2006-08-10
각설탕,씨제이엔터테인먼트,1446820,2006-08-10
괴물,(주)쇼박스,13019740,2006-07-27
한반도,씨제이엔터테인먼트,3880308,2006-07-13
캐리비안의 해적 : 망자의 함,브에나비스타인터내셔널코리아,4628903,2006-07-06
수퍼맨 리턴즈,워너브러더스 코리아(주),1764758,2006-06-28
아랑,롯데쇼핑㈜롯데엔터테인먼트,1122399,2006-06-28
비열한 거리,씨제이엔터테인먼트,2047808,2006-06-15
엑스맨 : 최후의 전쟁,이십세기폭스코리아(주),2096180,2006-06-15
포세이돈,워너브러더스 코리아(주),2214600,2006-05-31
짝패,씨제이엔터테인먼트,1196520,2006-05-25
다빈치 코드,소니픽쳐스릴리징코리아,3339082,2006-05-18
미션 임파서블 3,UIP코리아,5740789,2006-05-03
사생결단,씨제이이앤엠(주),2104716,2006-04-27
맨발의 기봉이,(주)쇼박스,2347311,2006-04-26
"달콤, 살벌한 연인",씨제이엔터테인먼트,2286745,2006-04-06
빨간모자의 진실,(주)쇼박스,1057223,2006-04-06
청춘만화,(주)쇼박스,2066354,2006-03-23
데이지,(주)쇼박스,1023096,2006-03-09
음란서생,씨제이엔터테인먼트,2576022,2006-02-23
구세주,쇼이스트(주),1858668,2006-02-16
흡혈형사 나도열,(주)쇼박스,1824822,2006-02-09
홀리데이,롯데쇼핑㈜롯데엔터테인먼트,1458896,2006-01-19
투사부일체,씨제이엔터테인먼트,6105431,2006-01-19
야수,(주)쇼박스,1016152,2006-01-12
싸움의 기술,씨제이엔터테인먼트,1313727,2006-01-05
왕의 남자,(주)시네마서비스,12302831,2005-12-29
"나니아 연대기-사자,마녀 그리고 옷장",브에나비스타인터내셔널코리아,2505133,2005-12-29
작업의 정석,(주)쇼박스,2342232,2005-12-21
킹콩,UIP코리아,4232430,2005-12-14
태풍,씨제이엔터테인먼트,4094395,2005-12-14
해리포터와 불의 잔,워너브러더스 코리아(주),3615000,2005-12-01
광식이 동생 광태,(주)엠케이픽처스 ,2430200,2005-11-23
미스터 소크라테스,롯데쇼핑㈜롯데엔터테인먼트,1261965,2005-11-10
야수와 미녀,(주)쇼박스,1561282,2005-10-27
새드무비,"롯데쇼핑㈜롯데엔터테인먼트,아이러브시네마",1066765,2005-10-20
내 생애 가장 아름다운 일주일,씨제이엔터테인먼트,2533103,2005-10-07
너는 내 운명,씨제이엔터테인먼트,3051134,2005-09-23
찰리와 초콜릿 공장,워너브러더스 코리아(주),1372700,2005-09-16
형사; Duelist,코리아픽쳐스(주),1203146,2005-09-08
가문의 위기(가문의 영광2),(주)쇼박스,5635266,2005-09-07
박수칠 때 떠나라,(주)시네마서비스,2475291,2005-08-11
웰컴 투 동막골,(주)쇼박스,8008622,2005-08-04
친절한 금자씨,씨제이엔터테인먼트,3650000,2005-07-29
아일랜드,워너브러더스 코리아(주),3433900,2005-07-21
천군,(주)쇼박스,1232992,2005-07-15
마다가스카,씨제이엔터테인먼트,1620031,2005-07-14
우주전쟁,UIP코리아,3223000,2005-07-07
분홍신,(주)쇼박스,1371122,2005-06-30
미스터 & 미세스 스미스,이십세기폭스필름코퍼레이션,3546900,2005-06-16
연애의 목적,씨제이엔터테인먼트,1735977,2005-06-10
간 큰 가족,(주)쇼박스,1593038,2005-06-09
"안녕, 형아",(주)시네마서비스,1143136,2005-05-27
스타워즈 에피소드3 - 시스의복수,이십세기폭스필름코퍼레이션,1722800,2005-05-26
연애술사,씨제이엔터테인먼트,1163274,2005-05-20
남극일기,(주)쇼박스,1057311,2005-05-19
킹덤 오브 헤븐,이십세기폭스필름코퍼레이션,1484000,2005-05-04
혈의 누,(주)시네마서비스,2274995,2005-05-04
댄서의 순정,쇼이스트(주),2197555,2005-04-28
주먹이 운다(Crying Fist),쇼이스트(주),1728477,2005-04-01
달콤한 인생,씨제이엔터테인먼트,1271595,2005-04-01
잠복근무,(주)쇼박스,1914941,2005-03-17
마파도,씨제이엔터테인먼트,3090467,2005-03-10
파송송 계란탁,씨제이엔터테인먼트,1193150,2005-02-18
콘스탄틴,워너브러더스 코리아(주),1845000,2005-02-08
B형 남자친구,롯데쇼핑㈜롯데엔터테인먼트,1485454,2005-02-03
그때 그 사람들,(주)엠케이픽처스 ,1083962,2005-02-03
말아톤,(주)쇼박스,5148022,2005-01-27
공공의 적 2,(주)시네마서비스,3911356,2005-01-27
몽정기2,롯데쇼핑㈜롯데엔터테인먼트,1188815,2005-01-14
알렉산더,(주)시네마서비스,1671576,2004-12-31
내셔널 트레져,한국소니픽쳐스릴리징브에나비스타영화㈜,1384507,2004-12-31
하울의 움직이는 성,"(주)이수C&E,(주)시네마서비스",3015165,2004-12-23
인크레더블,한국소니픽쳐스릴리징브에나비스타영화㈜,1155067,2004-12-15
블레이드 3,(주)쇼박스,1069643,2004-12-15
역도산,씨제이엔터테인먼트,1386179,2004-12-15
오페라의 유령,"(주)팝엔터테인먼트,(주)드림팩트엔터테인먼트,씨제이엔터테인먼트",2006880,2004-12-08
브리짓 존스의 일기2 : 열정과 애정,UIP코리아,1462000,2004-12-08
